"","position","full_name","first_name","last_name","inch_height","weight","games","receptions","targets","receiving_yards","receiving_tds","receiving_air_yards","receiving_yards_after_catch","carries","rec_gm","ay_per_targ"
"1","WR","Krishawn Hogan","Krishawn","Hogan",75,"217",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","WR","KeeSean Johnson","KeeSean","Johnson",73,"199",8,15,23,173,0,250,50,0,1.88,10.87
"3","WR","Isaac Whitney","Isaac","Whitney",74,"204",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","WR","Jaron Brown","Jaron","Brown",75,"205",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","WR","Andy Isabella","Andy","Isabella",69,"190",11,21,35,224,2,394,82,1,1.91,11.26
"6","WR","DeAndre Hopkins","DeAndre","Hopkins",73,"212",16,115,160,1407,6,1417,534,1,7.19,8.86
"7","WR","A.J. Richardson","A.J.","Richardson",72,"212",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","WR","JoJo Ward","JoJo","Ward",69,"175",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","WR","Rico Gafford","Rico","Gafford",70,"185",2,0,2,0,0,64,0,0,0,32
"10","WR","Larry Fitzgerald","Larry","Fitzgerald",75,"218",13,54,72,409,1,432,185,0,4.15,6
"11","WR","Christian Kirk","Christian","Kirk",71,"200",14,48,79,621,6,935,175,2,3.43,11.84
"12","WR","Trent Sherfield","Trent","Sherfield",73,"219",2,5,7,50,0,82,27,0,2.5,11.71
"13","WR","Calvin Ridley","Calvin","Ridley",73,"190",15,90,143,1374,9,2052,275,5,6,14.35
"14","WR","Olamide Zaccheaus","Olamide","Zaccheaus",68,"193",9,20,32,274,1,440,63,1,2.22,13.75
"15","WR","Greg Dortch","Greg","Dortch",67,"173",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","WR","Juwan Green","Juwan","Green",72,"187",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","WR","Julio Jones","Julio","Jones",75,"220",9,51,68,771,3,764,231,0,5.67,11.24
"18","WR","Chris Rowland","Chris","Rowland",68,"180",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","WR","Christian Blake","Christian","Blake",73,"181",7,13,18,141,0,173,26,0,1.86,9.61
"20","WR","Russell Gage","Russell","Gage",72,"184",16,72,109,786,4,927,281,2,4.5,8.5
"21","WR","Laquon Treadwell","Laquon","Treadwell",74,"215",4,6,7,49,2,39,13,0,1.5,5.57
"22","WR","Brandon Powell","Brandon","Powell",68,"189",10,12,18,69,2,83,34,2,1.2,4.61
"23","WR","Devin Gray","Devin","Gray",72,"192",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","WR","Miles Boykin","Miles","Boykin",76,"220",15,22,38,286,4,437,85,0,1.47,11.5
"25","WR","Antoine Wesley","Antoine","Wesley",76,"206",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","WR","Dez Bryant","Dez","Bryant",74,"220",6,6,13,47,2,71,34,0,1,5.46
"27","WR","Chris Moore","Chris","Moore",73,"200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","WR","James Proche","James","Proche",72,"193",3,1,3,14,0,12,8,0,0.33,4
"29","WR","DeAndrew White","DeAndrew","White",72,"195",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","WR","Marquise Brown","Marquise","Brown",69,"170",18,69,116,965,8,1554,328,3,3.83,13.4
"31","WR","Deon Cain","Deon","Cain",74,"202",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","WR","Jaylon Moore","Jaylon","Moore",74,"190",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","WR","De'Anthony Thomas","De'Anthony","Thomas",68,"176",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","WR","Binjimen Victor","Binjimen","Victor",76,"199",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","WR","Devin Duvernay","Devin","Duvernay",71,"210",14,20,26,201,0,161,118,4,1.43,6.19
"36","WR","Willie Snead","Willie","Snead",71,"205",15,40,55,466,3,449,200,0,2.67,8.16
"37","WR","Duke Williams","Duke","Williams",75,"225",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","WR","Isaiah McKenzie","Isaiah","McKenzie",68,"173",17,33,37,296,6,151,202,12,1.94,4.08
"39","WR","Jake Kumerow","Jake","Kumerow",76,"209",1,1,1,22,1,22,0,0,1,22
"40","WR","Stefon Diggs","Stefon","Diggs",72,"191",19,147,197,1846,10,2145,539,1,7.74,10.89
"41","WR","John Brown","John","Brown",71,"179",12,43,71,544,3,852,192,0,3.58,12
"42","WR","Tanner Gentry","Tanner","Gentry",73,"193",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
